meter_id,timestamp,power,voltage,current,frequency,energy
1000000804,2026-01-05 22:56:21,1382.07,227.98,6.06,50.1,0.1152
1000000805,2026-01-05 22:56:21,1245.1,236.27,5.27,50.09,0.1038
1000000806,2026-01-05 22:56:21,1080.22,238.04,4.54,50.11,0.09
1000000807,2026-01-05 22:56:21,1406.82,223.18,6.3,50.37,0.1172
1000000808,2026-01-05 22:56:21,968.96,220.17,4.4,49.67,0.0807
1000000809,2026-01-05 22:56:21,1118.2,223.64,5.0,49.56,0.0932
1000000810,2026-01-05 22:56:21,1366.15,231.76,5.89,50.39,0.1138
1000000811,2026-01-05 22:56:21,845.68,223.0,3.79,49.65,0.0705
1000000812,2026-01-05 22:56:21,1199.12,221.38,5.42,50.3,0.0999
1000000813,2026-01-05 22:56:21,1367.46,238.73,5.73,49.82,0.114
1000000814,2026-01-05 22:56:21,1336.27,233.28,5.73,49.58,0.1114
1000000815,2026-01-05 22:56:21,861.79,222.59,3.87,49.66,0.0718
1000000816,2026-01-05 22:56:21,906.32,229.26,3.95,50.34,0.0755
1000000817,2026-01-05 22:56:21,1206.38,226.31,5.33,49.96,0.1005
1000000818,2026-01-05 22:56:21,1291.83,229.1,5.64,50.4,0.1077
1000000819,2026-01-05 22:56:21,1358.34,237.03,5.73,49.83,0.1132
1000000820,2026-01-05 22:56:21,1242.36,238.39,5.21,50.1,0.1035
1000000821,2026-01-05 22:56:21,981.4,233.92,4.2,50.32,0.0818
1000000822,2026-01-05 22:56:21,1217.85,237.96,5.12,49.57,0.1015
1000000823,2026-01-05 22:56:21,1320.86,230.02,5.74,50.09,0.1101
1000000824,2026-01-05 22:56:21,1101.59,223.66,4.93,50.06,0.0918
1000000825,2026-01-05 22:56:21,1096.95,232.31,4.72,49.77,0.0914
1000000826,2026-01-05 22:56:21,1324.36,239.31,5.53,50.09,0.1104
1000000827,2026-01-05 22:56:21,1270.62,222.83,5.7,50.23,0.1059
1000000828,2026-01-05 22:56:21,931.98,238.88,3.9,50.42,0.0777
1000000829,2026-01-05 22:56:21,944.78,228.24,4.14,49.8,0.0787
1000000830,2026-01-05 22:56:21,1383.82,224.43,6.17,49.56,0.1153
1000000831,2026-01-05 22:56:21,990.54,234.95,4.22,49.59,0.0825
1000000832,2026-01-05 22:56:21,1390.84,227.04,6.13,49.71,0.1159
1000000833,2026-01-05 22:56:21,936.61,236.04,3.97,49.66,0.0781
1000000834,2026-01-05 22:56:21,966.08,222.05,4.35,50.12,0.0805
1000000835,2026-01-05 22:56:21,1471.46,223.38,6.59,50.41,0.1226
1000000836,2026-01-05 22:56:21,1047.0,238.63,4.39,50.44,0.0873
